"stations_groupees";"BV";"Latitude";"Longitude";"Pression_anthro";"nb_individus";"nb_ordres";"nb_familles";"nb_sous_famille";"ng_genres";"nb_sp";"nb_regimes_trophiques";"nb_dosages_isotopie";"nb_dosages_elt_traces";"nb_dosages_Hg";"masse_mediane_poissons_Hg_g";"min_Hg";"max_Hg";"moyenne_Hg";"sd_Hg";"nb_Hg_carni_invert";"moyenne_Hg_carni_invert";"sd_Hg_carni_invert";"min_Hg_carni_invert";"max_Hg_carni_invert";"nb_Hg_omni_invert";"moyenne_Hg_omni_invert";"sd_Hg_omni_invert";"min_Hg_omni_invert";"max_Hg_omni_invert"
"Crique_Kapiri_1";"APPROUAGUES";4.13208;-52.17138;"Deforestation";60;5;9;6;12;13;5;0;0;19;2.06;0.1818;2.91385;0.5028737;0.5943867;11;0.6000318;0.7774009;0.1818;2.91385;3;0.35855;0.14645;0.2121;0.505
"Crique_Kapiri_2";"APPROUAGUES";4.10373;-52.08655;"Deforestation";220;4;12;8;17;20;5;0;0;42;10.455;0.2828;3.0401;0.916575;0.609727;21;1.0689167;0.7035129;0.2828;3.0401;13;0.7093308;0.37288939;0.33835;1.4039
"Crique_Kapiri_4";"APPROUAGUES";4.08399;-52.13098;"Deforestation";66;5;12;10;16;18;5;0;0;31;6.2;0.31815;3.0401;0.7188919;0.541294;17;0.7779971;0.3888806;0.31815;2.10585;7;0.8649929;0.96217063;0.3737;3.0401
"Crique_Kapiri_5";"APPROUAGUES";4.06904;-52.11499;"Deforestation";229;5;12;10;16;19;6;0;0;48;9.125;0.21715;1.5756;0.6365104;0.3108999;13;0.8507308;0.3508364;0.3333;1.5756;22;0.5123455;0.22214932;0.21715;1.03525
"Crique_Korossibo";"MANA";5.16997;-53.66222;"Orpaillage_ancien";439;4;12;11;23;29;5;99;0;26;3.95;0.1717;1.0201;0.4737288;0.2711658;10;0.63428;0.2822604;0.2929;1.0201;11;0.2584682;0.09002093;0.1717;0.4545
"Crique_Laboue_1";"APPROUAGUES";4.15872;-52.47205;NA;10;4;7;4;7;7;4;6;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Laboue_2";"APPROUAGUES";4.15872;-52.47205;NA;59;4;11;8;15;17;5;41;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Lucifer";"SINNAMARY";4.78216;-53.11461;"Barrage";78;4;11;9;18;18;6;0;0;29;8.2;0.52015;6.3327;1.3438224;1.0818745;15;1.04737;0.4619293;0.52015;2.17655;6;1.8903833;2.2029456;0.56055;6.3327
"Crique_Macouria";"MACOURIA";4.95834;-52.59666;"Reference";482;5;14;12;22;30;8;0;0;57;2.44;0.45955;1.9392;0.9422237;0.388224;15;0.8083367;0.2196975;0.505;1.1918;16;0.9172063;0.3988152;0.53025;1.89375
"Crique_Maman_Lezard";"SINNAMARY";5.08492;-53.01412;NA;43;4;8;8;11;11;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Marie";"OYAPOCK";3.87064;-51.85653;"Piste";276;5;11;13;26;30;7;0;0;82;3.145;0.1616;2.6462;0.6892018;0.6269604;24;0.426725;0.2929189;0.1818;1.28775;29;0.9272845;0.834226;0.1616;2.6462
"Crique_Minette";"OYAPOCK";3.82033;-51.875;"Piste";195;5;13;15;21;24;8;62;0;52;7.87;0.0404;0.82315;0.3723889;0.1716355;18;0.3460653;0.1837258;0.1515;0.82315;28;0.3886696;0.14713195;0.1313;0.81305
"Crique_Montagne";"MANA";4.712;-53.94666;"Reference";81;2;3;4;4;4;3;17;0;10;0.95;0.2323;0.71205;0.441875;0.171109;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Nouraguette";"APPROUAGUES";4.035804;-52.65511;NA;251;5;9;11;17;21;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Nouvelle_France";"MARONI";NA;NA;NA;49;3;12;13;22;22;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Nouvelle_France_contaminee";"MARONI";3.61284;-53.16884;"Orpaillage_illegal";351;5;16;17;35;40;9;148;54;87;7.8;0;6.760912;1.7697204;1.4038214;37;1.812368;1.224325;0;4.546006;37;1.3191814;0.89039129;0;3.717758
"Crique_Nouvelle_France_non_contaminee";"MARONI";3.56573;-53.1975;"Orpaillage_ancien";1377;5;21;25;54;82;11;322;105;222;NA;0;5.92311;0.7290583;0.6698099;44;0.5691509;0.3673654;0.1440323;1.925921;100;0.6628779;0.41399245;0.2031922;2.338672
"Crique_Orapu";"COMTE";4.28392;-52.49397;"Orpaillage_ancien";179;4;9;11;19;23;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Organabo";"ORGANABO";5.46971;-53.534;"Piste";157;5;9;7;12;15;4;0;0;29;1.44;0.5151;3.06535;1.0658983;0.5641746;10;1.08474;0.7700392;0.58075;3.06535;11;1.0917182;0.54562355;0.5959;2.27755
"Crique_Paira";"APPROUAGUES";4.115;-52.05517;"Reference";123;5;9;10;17;19;4;38;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Palmeraie";"APPROUAGUES";3.99509;-52.569;NA;154;5;11;10;18;20;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Paracou";"CRIQUE_COTIERE";5.28692;-52.90708;"Reference";994;5;17;15;29;38;8;89;0;53;4.47;0.2222;3.8784;0.990467;0.7972956;19;0.8515895;0.4452034;0.2323;2.01495;14;0.7856357;0.20777085;0.46965;1.20695
"Crique_Parar";"APPROUAGUES";4.036166;-52.56908;NA;236;5;14;13;25;33;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Parare";"APPROUAGUES";4.03906;-52.67694;NA;70;6;11;11;14;16;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Penta";"MARONI";NA;NA;NA;154;5;16;14;28;33;8;0;0;62;2.32;0.21715;4.09555;1.0828177;0.8686633;27;1.3397463;1.1177272;0.39895;4.09555;16;0.8383;0.51822285;0.21715;1.68165
"Crique_Petit";"COUNAMAMA";5.33654;-53.10353;"Reference";648;6;20;16;34;43;7;111;0;92;2.645;0.31815;2.2927;0.9940815;0.3872166;33;1.0260682;0.4378864;0.49995;2.2927;28;0.9221661;0.30942927;0.404;1.78265
"Crique_Petit_Approuague";"COMTE";4.36481;-52.32803;"Orpaillage_ancien";166;5;14;16;32;42;8;94;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Petit_Laussat_Amont_(3)";"MANA";5.37996;-53.55004;"Piste";77;4;10;8;17;18;5;0;0;46;9.93;0.34845;3.10575;0.9779435;0.5403602;24;1.0695479;0.4774273;0.4141;2.1816;13;0.7132154;0.36440077;0.34845;1.5251
"Crique_Petit_Tamouri_1";"OYAPOCK";3.001741;-53.10938;NA;60;2;3;3;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Petit_Tamouri_2";"OYAPOCK";2.99686;-53.10904;NA;20;1;1;1;1;1;1;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Petit_laussat_Aval_(1)";"MANA";5.40887;-53.58121;"Piste";115;5;12;12;18;18;6;0;0;34;5.195;0.4848;3.49965;1.2630941;0.6939794;22;1.2409227;0.770624;0.5151;3.49965;7;1.60085;0.54725164;0.4848;2.2927
"Crique_Pied_Saut";"OYAPOCK";3.80605;-51.89595;"Piste";113;5;8;5;9;10;5;0;0;24;2.715;0.17675;1.0908;0.4831167;0.2578476;8;0.315625;0.0931174;0.1919;0.44945;1;0.17675;NA;0.17675;0.17675
"Crique_Piste_Saint_Elie";"SINNAMARY";5.25744;-53.05544;"Orpaillage_ancien";197;5;15;10;24;27;6;72;0;65;4.44;0.37875;5.2217;1.1250623;0.7717076;31;1.4000718;0.9592516;0.48985;5.2217;26;0.7447779;0.30821924;0.37875;1.5251
"Crique_Quad";"MANA";4.74515;-53.97761;"Orpaillage_ancien";150;3;11;15;21;22;7;68;0;56;5.815;0.46965;2.6159;1.054458;0.4800456;11;0.8851273;0.2288279;0.63125;1.3332;26;1.0822538;0.58603986;0.46965;2.6159
"Crique_Rosette";"COMTE";4.25463;-52.57528;"Orpaillage_ancien";155;5;13;15;23;24;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_SM";"OYAPOCK";3.8587;-51.87103;"Piste";182;6;14;11;19;22;5;62;0;59;10.2;0.1616;2.5553;0.5719767;0.4324152;21;0.4343;0.2505737;0.17675;0.93425;32;0.6112867;0.46103314;0.1616;2.5553
"Crique_Sable_1";"OYAPOCK";3.036767;-53.08119;NA;99;2;3;4;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Sable_2";"OYAPOCK";3.016997;-53.07037;NA;84;2;3;4;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Saint_Lucien";"APPROUAGUES";4.19206;-52.52858;"Orpaillage_legal";80;3;4;8;12;13;3;45;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Saul";"SINNAMARY";4.52854;-52.94499;"Reference";1543;4;19;22;44;62;9;84;0;146;6.78;0.1414;2.5856;0.7376113;0.508594;44;0.7158375;0.6099324;0.1414;2.5856;50;0.832341;0.48339126;0.2323;2.2422
"Crique_Singe_Rouge";"KOUROU";4.95;-52.625;NA;191;5;13;10;22;25;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Tawin";"COMTE";4.31006;-52.39636;"Orpaillage_ancien";154;4;11;13;20;22;6;50;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Tortue";"APPROUAGUES";4.2101;-52.49145;"Orpaillage_ancien";19;4;5;6;7;8;4;18;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_Toussaint";"SINNAMARY";5.30908;-53.05873;"Piste";679;6;16;11;26;34;7;0;0;40;1.69;0.404;2.55025;0.92415;0.4159136;11;0.9067045;0.4682435;0.52015;2.21695;26;0.906475;0.40603821;0.404;2.55025
"Crique_Trois_Sauts";"OYAPOCK";2.247879;-52.87405;"Reference_Trois_Sauts";1825;6;20;21;49;65;11;0;73;142;12.15;0.011281;1.645525;0.4112267;0.2462567;25;0.4912297;0.3558077;0.191523;1.645525;62;0.4027304;0.179558;0.178155;0.939147
"Crique_Violette";"MANA";4.73665;-53.95892;"Orpaillage_ancien";183;3;6;10;16;17;7;47;0;37;5.33;0.37875;5.7065;1.0697811;0.8532238;3;0.6144167;0.2043431;0.37875;0.74235;25;1.06151;0.31699227;0.6161;1.8079
"Crique_a_l'Est";"MANA";3.66264;-53.22197;NA;159;5;14;14;26;27;9;89;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_clando";"MANA";4.75431;-53.96736;"Orpaillage_ancien";211;3;5;6;9;11;5;45;0;37;4.93;0.20705;2.1311;0.8511297;0.5072096;1;2.10585;NA;2.10585;2.10585;15;0.8430133;0.41729655;0.24745;1.5655
"Crique_des_Cascades";"MARONI";5.3476;-54.1053;"Piste";218;4;7;6;8;9;4;0;0;33;4.88;0.4444;3.02495;1.3908924;0.59178;17;1.5996618;0.6689762;0.75245;3.02495;5;0.83426;0.30068499;0.4444;1.25745
"Crique_kapiri_6";"APPROUAGUES";4.15347;-52.16586;"Deforestation";119;4;12;10;20;22;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_kapiri_7";"APPROUAGUES";4.09117;-52.09195;"Deforestation";64;4;9;6;13;14;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_1";"APPROUAGUES";4.039033;-52.67677;NA;106;6;13;15;23;26;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_2";"APPROUAGUES";4.038644;-52.67693;NA;88;6;15;15;22;27;7;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_3";"APPROUAGUES";4.038155;-52.67751;NA;197;6;17;18;27;34;7;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_4";"APPROUAGUES";4.044219;-52.6878;NA;124;5;10;11;16;18;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_5";"APPROUAGUES";4.044229;-52.68754;NA;71;5;10;11;15;16;8;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_6";"APPROUAGUES";4.044491;-52.68752;NA;83;6;12;11;17;19;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_7";"APPROUAGUES";4.048615;-52.69155;NA;212;5;8;11;13;13;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_8";"APPROUAGUES";4.04866;-52.6917;NA;171;5;8;8;9;9;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_parare_9";"APPROUAGUES";4.048179;-52.69244;NA;180;5;6;8;11;11;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_1";"MARONI";3.022854;-53.09445;NA;26;1;2;2;2;2;2;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_2";"MARONI";3.026498;-53.09411;NA;21;2;2;2;2;2;2;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_3";"MARONI";3.027681;-53.11347;NA;29;2;3;3;4;4;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_petite_Waki_4";"MARONI";3.028919;-53.11382;NA;85;2;3;3;5;5;3;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Crique_relache_1";"SINNAMARY";5.05134;-52.96782;"Barrage";50;5;10;8;11;13;6;0;0;21;0.89;0.12625;2.98455;0.68175;0.6166999;11;0.4287909;0.1854451;0.12625;0.808;1;1.1211;NA;1.1211;1.1211
"Crique_relache_2";"SINNAMARY";5.04839;-52.97517;"Barrage";17;3;6;3;5;6;4;0;0;13;4.17;0.5858;3.434;1.3510692;0.8779103;9;1.2451056;0.8948698;0.5858;3.434;3;1.16655;0.42862572;0.91405;1.66145
"Tete_Crique_Tortue";"APPROUAGUES";4.19344;-52.527;NA;66;3;5;8;9;10;4;20;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Voltalia_2";"MANA";5.3427;-53.66158;"Barrage";120;5;11;8;16;17;5;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Voltalia_3";"MANA";5.35789;-53.66336;"Barrage";362;5;9;8;12;12;6;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
"Voltalia_4";"MANA";5.37639;-53.663;"Barrage";98;5;13;9;19;19;4;0;0;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA
